Laser Mapping Single Run, Preprocess (Standard), 
0.274085,0.273093,
0.016161,0.015745,
2.4404,2.43742,
0.036257,0.032769,
0.017696,0.017408,
3.01545,3.01033,
0.036289,0.032193,
0.435336,0.433128,
0.020577,0.020225,
0.258789,0.257637,
0.016288,0.015936,
0.352743,0.351847,
0.022849,0.021569,
2.96274,2.95887,
0.034561,0.031617,
0.308614,0.306726,
0.020161,0.019489,
1.95274,1.95012,
1.85296,1.85011,
0.039041,0.035681,
0.311301,0.309509,
0.016896,0.016128,
2.35332,2.35025,
2.92236,2.91477,
2.84434,2.83759,
0.038208,0.0352,
0.478665,0.476585,
0.020224,0.019616,
2.89212,2.88933,
2.88937,2.88335,
0.033984,0.031328,
0.026208,0.025024,
1.95866,1.95501,
0.033249,0.031169,
1.91629,1.91348,
1.92061,1.91536,
0.034657,0.031713,
0.31239,0.31079,
0.019105,0.018049,
2.42808,2.4243,
0.329926,0.32583,
0.021569,0.020833,
2.90447,2.89964,
0.460264,0.456072,
2.90105,2.89708,
0.036416,0.033856,
0.462696,0.460616,
0.020256,0.019744,
0.01472,0.0144,
0.266405,0.265285,
0.016768,0.016352,
0.015233,0.014849,
0.015008,0.014656,
0.015744,0.01536,
0.016097,0.015457,
0.33415,0.332774,
0.398823,0.397127,
2.90949,2.90585,
1.90439,1.9001,
0.031809,0.030273,
1.91261,1.90916,
1.94823,1.9433,
0.033409,0.030977,
1.93901,1.93492,
1.92074,1.91524,
0.034913,0.031905,
0.310854,0.30887,
0.020481,0.019905,
1.9722,1.96759,
0.326054,0.322534,
0.021953,0.020737,
1.96071,1.95661,
0.034401,0.031841,
0.320902,0.319302,
0.01728,0.0168,
2.42376,2.4202,
0.437641,0.433577,
0.019168,0.018496,
0.01632,0.015776,
0.31495,0.313606,
0.019617,0.019168,
0.016352,0.016032,
0.272133,0.271333,
0.030145,0.027585,
3.00518,3.00054,
2.94549,2.93938,
0.034465,0.032001,
0.312998,0.311814,
0.019584,0.019104,
0.017505,0.017217,
0.306534,0.305318,
0.016672,0.016288,
0.015393,0.015041,
0.267141,0.266373,
0.031297,0.029153,
0.021696,0.021152,
0.318022,0.315846,
0.017537,0.017121,
0.015552,0.0152,
0.299142,0.298341,
0.019233,0.018881,
0.01504,0.01472,
2.41412,2.41112,
0.036417,0.032577,
0.417608,0.415656,
0.020097,0.019713,
0.268549,0.267493,
0.016928,0.016544,
0.015488,0.015104,
0.392999,0.391495,
0.025408,0.023904,
0.016736,0.016416,
0.01504,0.014752,
0.291654,0.290854,
0.315654,0.313478,
0.021441,0.020961,
0.015232,0.014848,
2.9526,2.94882,
1.95959,1.9546,
1.9234,1.91956,
0.035585,0.033313,
0.31799,0.315878,
0.018593,0.018113,
1.98932,1.98561,
1.91556,1.91159,
0.038241,0.034561,
0.018208,0.017312,
1.93799,1.93501,
0.030689,0.028705,
0.318502,0.31751,
0.020576,0.020192,
0.314117,0.313029,
0.020512,0.02016,
0.31687,0.315078,
0.031776,0.029504,
0.018049,0.017729,
0.018016,0.017696,
0.017633,0.017345,
0.303622,0.302758,
0.01872,0.018272,
0.01648,0.016128,
0.016352,0.015968,
0.0216,0.02128,
0.016096,0.015744,
2.4299,2.4268,
3.03891,3.03369,
0.039393,0.036321,
0.433192,0.431016,
0.021217,0.020705,
0.402663,0.400135,
0.287493,0.286213,
0.402344,0.400008,
0.021632,0.021088,
0.284581,0.283621,
0.019488,0.018976,
0.0168,0.01648,
0.385127,0.383879,
0.024736,0.022656,
3.03577,3.03004,
0.036993,0.034241,
0.321894,0.320454,
0.019808,0.01936,
0.019648,0.019232,
0.323622,0.321702,
0.019072,0.018592,
0.017313,0.017057,
0.330694,0.328774,
0.02752,0.025568,
1.84035,1.83751,
2.48619,2.48133,
0.03584,0.032448,
0.018048,0.017696,
0.465065,0.462185,
0.278054,0.276934,
0.021696,0.021024,
0.017057,0.016737,
0.019296,0.018944,
0.387527,0.385959,
0.026976,0.024928,
2.49918,2.49531,
0.034912,0.03296,
0.334534,0.33271,
0.020673,0.019425,
0.01616,0.015872,
0.288006,0.28679,
0.020832,0.020192,
0.016609,0.016257,
0.284677,0.283845,
0.033217,0.030145,
0.017504,0.017248,
0.333766,0.332582,
0.019584,0.019168,
0.016544,0.016192,
0.28519,0.28439,
0.019904,0.019232,
1.8624,1.85997,
2.51307,2.50747,
0.040193,0.035713,
0.018337,0.017665,
0.017408,0.017056,
0.513194,0.511274,
0.021408,0.02096,
0.302245,0.300741,
0.022688,0.022208,
0.017056,0.01664,
0.412072,0.410599,
0.028,0.025824,
0.017953,0.017665,
0.016736,0.016416,
0.018369,0.018113,
3.06041,3.05708,
0.033216,0.031008,
0.335878,0.334854,
0.366151,0.363815,
0.024736,0.024,
0.296646,0.29591,
0.026657,0.025601,
0.316518,0.31575,
0.019105,0.018721,
0.017184,0.016896,
0.306438,0.305446,
0.018433,0.017889,
0.017728,0.01712,
0.361831,0.360935,
0.025728,0.022912,
2.48392,2.48056,
0.039233,0.036193,
0.528106,0.525834,
0.021953,0.021121,
0.0168,0.01648,
0.374887,0.372231,
0.01952,0.019136,
0.016705,0.016449,
0.35047,0.349126,
0.028833,0.025665,
0.02128,0.02096,
0.392551,0.391559,
0.020769,0.020289,
0.018144,0.017792,
0.355111,0.354055,
0.02,0.01952,
3.07097,3.0669,
0.039136,0.035648,
0.020832,0.020192,
3.03762,3.03228,
0.036993,0.034721,
0.365606,0.364198,
0.022464,0.021984,
0.319558,0.31767,
0.018657,0.018145,
0.017248,0.016864,
0.324774,0.323974,
0.384263,0.381351,
0.022817,0.022145,
0.018624,0.018368,
0.021313,0.021025,
0.326214,0.324934,
0.02016,0.019616,
2.45493,2.45102,
0.038209,0.034209,
0.510826,0.50945,
0.021185,0.020545,
0.018272,0.017952,
0.345607,0.344263,
0.01824,0.01776,
0.016352,0.016032,
0.460296,0.458376,
0.022368,0.0216,
0.016769,0.016416,
0.01808,0.017696,
3.1983,3.19411,
2.01661,2.01153,
2.06145,2.05594,
0.035169,0.032385,
1.97895,1.97588,
2.05431,2.04945,
0.033505,0.030721,
0.019904,0.019392,
0.016097,0.015809,
0.374311,0.373415,
0.018017,0.017665,
0.341094,0.33991,
0.028064,0.026816,
0.412072,0.410024,
0.323686,0.32215,
0.019872,0.019488,
0.32359,0.322374,
0.02528,0.024032,
0.32519,0.324166,
0.01728,0.016896,
0.016481,0.016161,
0.018112,0.01776,
0.349254,0.347878,
0.027936,0.026368,
2.53105,2.52827,
0.039329,0.036353,
0.569451,0.567659,
0.045537,0.044097,
0.020992,0.020128,
0.371815,0.370599,
0.02048,0.019904,
0.023553,0.022273,
0.44276,0.441128,
0.022209,0.021505,
0.018624,0.018272,
0.017473,0.017121,
0.374375,0.373223,
0.416999,0.415303,
0.021312,0.020768,
0.01728,0.016928,
0.018624,0.018208,
0.383271,0.381703,
0.020896,0.020448,
0.059969,0.023872,
0.494282,0.49233,
0.020832,0.020224,
0.018017,0.017697,
3.09628,3.09254,
0.403687,0.398663,
0.026016,0.025568,
0.022657,0.022337,
0.01824,0.01792,
2.01623,2.01415,
0.036737,0.033537,
0.024737,0.024161,
0.380007,0.378855,
0.33927,0.337894,
0.331847,0.331079,
0.027744,0.026016,
0.019585,0.019041,
0.023616,0.023296,
0.019905,0.019585,
0.021408,0.021056,
0.019553,0.019233,
0.020352,0.020032,
0.021281,0.020993,
0.390951,0.390183,
0.329926,0.32903,
0.349063,0.347303,
0.029761,0.027873,
0.020992,0.020416,
0.359303,0.358183,
0.343495,0.342023,
0.024096,0.023648,
0.020129,0.019841,
0.020128,0.019808,
0.345414,0.344262,
0.027809,0.026401,
2.52411,2.52171,
2.00119,1.99761,
0.040481,0.038081,
0.394631,0.393511,
0.025281,0.024737,
0.02,0.019744,
0.339206,0.338246,
0.029441,0.027809,
0.023744,0.023392,
0.020129,0.019809,
0.020832,0.020544,
0.019713,0.019361,
0.02032,0.02,
0.350759,0.349191,
0.341031,0.340263,
0.027008,0.025696,
0.384487,0.382855,
0.022208,0.021792,
0.332551,0.331175,
0.030016,0.02768,
0.344614,0.343398,
0.021505,0.020897,
0.020864,0.02048,
0.021184,0.020832,
0.340679,0.339687,
0.026336,0.025088,
0.022144,0.021824,
0.345863,0.344583,
0.022848,0.02224,
0.020256,0.019968,
0.389832,0.38852,
0.026944,0.025312,
2.54955,2.54606,
2.07815,2.07374,
0.040545,0.038209,
0.390471,0.389095,
0.025472,0.02496,
0.022273,0.021953,
0.34327,0.341638,
0.032992,0.030944,
0.024577,0.024193,
0.354791,0.352903,
0.024321,0.023649,
2.49381,2.49013,
0.042112,0.039392,
0.023424,0.02304,
0.02208,0.02176,
0.022432,0.02208,
0.606508,0.604876,
0.342471,0.340807,
0.031872,0.030816,
0.406919,0.405511,
0.028193,0.027713,
0.382631,0.381415,
0.031105,0.029121,
0.02304,0.022752,
0.023105,0.022561,
0.422216,0.420488,
0.023425,0.023041,
0.020384,0.019968,
0.021153,0.020833,
3.02681,3.02047,
2.96396,2.95836,
1.98698,1.98228,
0.039457,0.037184,
0.023969,0.023297,
0.019424,0.019136,
0.021824,0.021536,
0.401416,0.399016,
0.375047,0.373639,
0.372423,0.371079,
0.026464,0.025984,
0.348102,0.346854,
0.02144,0.020832,
0.028673,0.027009,
0.367687,0.366183,
0.021793,0.021377,
2.41128,2.40638,
0.041217,0.038689,
0.02064,0.020256,
0.021728,0.021408,
0.018432,0.01808,
0.622955,0.621195,
0.342598,0.34087,
0.027553,0.026273,
0.01968,0.019296,
0.01856,0.01824,
0.501578,0.500138,
0.355943,0.354983,
0.026401,0.025185,
0.01888,0.018528,
0.489321,0.487817,
0.021377,0.020641,
0.021696,0.021344,
0.358758,0.357734,
0.029633,0.027265,
0.024257,0.023201,
0.559147,0.557835,
0.020192,0.01968,
2.93711,2.93292,
2.00631,2.00273,
0.034145,0.032001,
0.019873,0.019553,
0.019456,0.019136,
0.41172,0.409704,
0.4146,0.413224,
0.026272,0.02496,
0.021473,0.021153,
0.382407,0.381063,
0.021633,0.021249,
0.019968,0.019648,
0.393607,0.392359,
0.026368,0.024832,
2.46779,2.46405,
2.93794,2.93273,
2.86137,2.85561,
0.041825,0.038433,
0.422792,0.421544,
0.023392,0.02256,
0.019393,0.019073,
0.01872,0.018016,
0.364966,0.364326,
0.031617,0.029601,
0.414984,0.413096,
0.022273,0.021793,
2.48568,2.48225,
0.041025,0.038337,
0.570443,0.568171,
0.025377,0.024321,
0.024897,0.024609,
0.366311,0.365127,
0.032225,0.030689,
0.020609,0.020257,
0.018144,0.017824,
0.403784,0.402952,
0.020961,0.020609,
0.489705,0.487753,
0.027073,0.025473,
0.023488,0.022848,
0.403208,0.402152,
0.021856,0.021344,
2.9311,2.92741,
2.85855,2.85279,
0.037056,0.034496,
0.466409,0.464265,
0.026016,0.025504,
0.019872,0.019552,
0.384392,0.383368,
0.027904,0.02624,
0.020992,0.020576,
0.408775,0.407879,
0.020705,0.020161,
0.019584,0.019008,
0.018433,0.018049,
0.018944,0.018624,
0.343366,0.34247,
0.357895,0.355239,
0.021217,0.020577,
0.019552,0.019264,
0.018145,0.017857,
0.018848,0.018304,
0.018273,0.017921,
0.018656,0.018336,
0.020225,0.019905,
0.018464,0.018144,
2.46965,2.46421,
0.038785,0.035393,
0.019776,0.019424,
0.583243,0.581579,
0.025153,0.024481,
0.325862,0.324774,
0.394728,0.392648,
0.021984,0.021504,
0.386343,0.384807,
0.022209,0.021665,
0.370023,0.368679,
0.026496,0.0248,
0.369799,0.368711,
0.020576,0.02,
0.361255,0.359558,
0.059042,0.05805,
0.02208,0.021696,
0.019777,0.019457,
0.023233,0.022177,
0.374663,0.373607,
0.356455,0.355207,
0.022145,0.021313,
0.019744,0.019328,
0.019424,0.019104,
0.018208,0.017888,
0.018048,0.017664,
0.425896,0.423368,
0.400999,0.399719,
0.021761,0.021057,
0.294501,0.293829,
0.031457,0.030273,
2.87538,2.871,
2.03053,2.02657,
1.99024,1.985,
1.94151,1.93658,
0.041569,0.037217,
0.353318,0.351814,
0.021025,0.020609,
0.314022,0.312646,
0.019712,0.019328,
0.01904,0.018752,
0.292678,0.291718,
0.025953,0.024641,
0.01952,0.018912,
0.333223,0.332103,
0.021152,0.020832,
0.019233,0.018881,
0.285413,0.284293,
0.022721,0.022337,
0.019456,0.019008,
0.018016,0.017696,
0.027201,0.025281,
0.02,0.01952,
0.018977,0.018657,
0.018048,0.01776,
2.35784,2.35416,
0.035969,0.033281,
0.020736,0.020416,
0.017952,0.017568,
0.018816,0.018464,
0.017633,0.017345,
0.017472,0.01712,
0.023361,0.022977,
0.01792,0.017632,
0.332743,0.331975,
0.33111,0.329766,
0.331942,0.330022,
0.300389,0.299301,
0.293765,0.292709,
0.307014,0.304838,
0.29623,0.295046,
0.023776,0.0232,
0.296838,0.295974,
0.026081,0.024929,
0.022145,0.021825,
0.020288,0.01984,
0.309958,0.308806,
0.290342,0.289574,
0.020256,0.019808,
0.018657,0.018337,
0.0192,0.018848,
0.347815,0.345543,
0.028512,0.027392,
2.32593,2.32334,
2.81221,2.80584,
0.044065,0.040097,
2.80482,2.80108,
1.91277,1.9089,
1.8762,1.87168,
0.037536,0.034784,
0.33415,0.332422,
0.023329,0.022433,
2.30763,2.30372,
0.0384,0.035008,
0.026336,0.026048,
2.81522,2.81074,
2.81,2.80405,
2.78914,2.78197,
0.040577,0.037121,
0.32471,0.323014,
0.320422,0.319334,
0.022945,0.022433,
0.271365,0.270405,
0.028993,0.027201,
0.020544,0.020192,
2.34468,2.34078,
0.043936,0.040576,
0.020992,0.020448,
0.325958,0.324614,
0.445609,0.443657,
0.022849,0.022113,
0.276165,0.275397,
0.028416,0.026816,
0.021312,0.02096,
0.018976,0.018688,
0.454312,0.45252,
0.022752,0.021984,
0.019873,0.019393,
0.309862,0.308806,
0.020512,0.02016,
0.021729,0.021345,
0.271237,0.270245,
0.026208,0.024928,
2.87295,2.86953,
0.036481,0.034209,
0.019393,0.019041,
0.0224,0.022112,
0.320454,0.318982,
0.328678,0.327462,
0.02352,0.023104,
0.049312,0.048192,
0.023968,0.023136,
0.022337,0.021953,
0.018592,0.018304,
1.95773,1.95405,
0.341159,0.33815,
0.024896,0.024448,
0.315333,0.313413,
0.026656,0.025984,
0.020833,0.020161,
0.020032,0.019712,
0.286341,0.285317,
0.331494,0.330054,
0.024097,0.023489,
0.019072,0.018752,
0.277733,0.276869,
0.021696,0.021152,
0.019649,0.019009,
0.018752,0.0184,
0.021761,0.021377,
0.019872,0.019584,
0.017408,0.017024,
0.023232,0.022272,
0.016416,0.016064,
0.017952,0.0176,
0.017025,0.016481,
0.01728,0.017024,
0.017569,0.017249,
0.019232,0.018944,
0.019296,0.01904,
0.017056,0.016736,
0.016768,0.016448,
0.016705,0.016385,
2.3179,2.31444,
2.83298,2.8278,
0.038497,0.035457,
0.020352,0.019968,
0.017792,0.01744,
0.330726,0.329286,
0.311398,0.309926,
0.261668,0.261028,
0.325382,0.32295,
0.282597,0.281669,
0.272453,0.271685,
0.026272,0.025088,
0.291558,0.290118,
0.01952,0.018912,
0.277286,0.276486,
0.279333,0.278693,
0.289669,0.288069,
0.269509,0.268325,
0.020736,0.020288,
0.304742,0.302982,
0.025889,0.024129,
2.33889,2.33569,
2.85109,2.84351,
0.042593,0.037985,
0.32199,0.320806,
0.021249,0.020929,
0.019264,0.018912,
0.290246,0.289158,
0.022336,0.021888,
0.017824,0.017472,
0.016928,0.016608,
2.33944,2.33592,
0.039424,0.036096,
0.363782,0.36263,
0.023392,0.022784,
0.267813,0.266821,
0.02272,0.022336,
0.305286,0.303782,
0.0304,0.028448,
0.020352,0.019584,
0.370087,0.368423,
0.023457,0.022945,
2.78661,2.78312,
1.90979,1.90548,
1.96324,1.9585,
0.041441,0.038625,
0.31127,0.309862,
0.021441,0.020993,
2.39528,2.39105,
2.84917,2.84124,
0.043457,0.040129,
0.349831,0.348103,
0.024001,0.023297,
0.018656,0.018304,
0.384488,0.382728,
0.020448,0.019872,
0.018433,0.017825,
0.260837,0.259973,
0.026689,0.025313,
0.021409,0.020833,
0.285989,0.282405,
0.023265,0.022849,
2.8589,2.85554,
0.036065,0.033473,
0.30935,0.307878,
0.020992,0.020544,
0.01856,0.018208,
0.018624,0.018336,
0.264261,0.263205,
0.020192,0.019712,
0.276485,0.275845,
0.298053,0.295621,
0.023841,0.023073,
0.018496,0.018208,
0.017473,0.017153,
2.32027,2.31739,
2.79336,2.78789,
2.7748,2.7694,
0.041249,0.037697,
0.42692,0.425064,
0.02336,0.022624,
2.7854,2.78133,
0.034465,0.032097,
0.295429,0.294565,
0.020833,0.020417,
0.016544,0.016224,
0.017921,0.017665,
0.261477,0.260517,
0.020832,0.02016,
0.018241,0.017825,
0.241412,0.240676,
0.274373,0.272293,
0.022816,0.022336,
0.017505,0.017217,
2.31576,2.31329,
0.039393,0.036096,
0.274277,0.272901,
0.02144,0.02096,
0.017056,0.016768,
0.240004,0.239268,
0.018592,0.018176,
0.01888,0.018432,
0.240709,0.240069,
0.022272,0.021248,
0.016352,0.016032,
0.242245,0.241413,
0.017824,0.017472,
0.297062,0.29591,
0.019648,0.019296,
0.015392,0.015072,
0.015264,0.014816,
0.215428,0.214692,
0.02032,0.019264,
0.014976,0.014656,
0.016736,0.016384,
0.262117,0.260996,
0.300902,0.298982,
0.022112,0.021504,
0.015617,0.015329,
0.014752,0.014432,
0.208676,0.207748,
0.0232,0.021632,
0.016033,0.015713,
0.256836,0.255204,
0.019072,0.018656,
2.82069,2.81698,
2.75096,2.7429,
0.038785,0.034784,
0.243237,0.241029,
0.017344,0.016896,
2.2972,2.29348,
2.75007,2.74524,
0.038721,0.035617,
0.270277,0.268581,
0.023809,0.022817,
0.016224,0.015904,
0.283398,0.28247,
0.018272,0.017696,
0.015681,0.015329,
0.203747,0.202947,
0.016352,0.015968,
0.014848,0.014496,
0.268325,0.266373,
0.018784,0.0184,
0.01616,0.015552,
0.284678,0.283654,
0.019424,0.018912,
0.200804,0.19994,
0.016705,0.016321,
0.014752,0.014432,
2.72866,2.72517,
1.84378,1.83904,
1.74179,1.73789,
0.034337,0.031137,
0.256741,0.254661,
0.019648,0.018976,
2.19303,2.19019,
0.035137,0.032193,
0.235877,0.234277,
0.0152,0.014848,
0.014209,0.013665,
0.208996,0.208132,
0.014912,0.01456,
0.01424,0.013952,
0.208996,0.208324,
0.014688,0.014272,
0.013889,0.013569,
0.190211,0.189507,
0.022977,0.021569,
0.016448,0.016192,
0.229188,0.228548,
0.01728,0.01696,
0.014656,0.014368,
0.1953,0.194596,
0.015616,0.0152,
2.77077,2.76706,
2.6908,2.68447,
1.8728,1.86746,
0.033952,0.030976,
0.234629,0.233349,
0.017216,0.01664,
1.72278,1.71978,
1.75443,1.74982,
0.03008,0.02816,
0.232804,0.231844,
0.018016,0.017632,
0.016832,0.01648,
0.222277,0.220804,
0.017568,0.016832,
0.013761,0.013473,
0.193124,0.192292,
0.014336,0.01392,
0.01408,0.013536,
0.209828,0.209092,
0.020449,0.019233,
0.014016,0.01376,
0.200323,0.199523,
0.015712,0.01536,
0.014464,0.014176,
0.230245,0.229445,
0.016128,0.015456,
0.013728,0.013408,
0.193604,0.192708,
0.016448,0.015968,
0.013793,0.013505,
0.199107,0.198467,
0.021057,0.019489,
0.014976,0.0144,
0.208356,0.20746,
0.01456,0.014176,
0.014369,0.014049,
0.195204,0.194596,
0.016897,0.016449,
2.24769,2.24436,
2.69445,2.68904,
0.034433,0.031265,
0.208324,0.207012,
0.01616,0.01552,
0.013665,0.013377,
0.217028,0.21418,
0.016448,0.0152,
1.84576,1.84304,
0.029601,0.026913,
0.202947,0.201891,
0.014752,0.014368,
0.017536,0.017056,
0.19098,0.190308,
0.014688,0.014272,
0.012225,0.011937,
0.217541,0.215685,
0.013408,0.013056,
2.17614,2.17377,
0.031904,0.028928,
0.2273,0.225892,
0.01472,0.014304,
0.014496,0.014208,
0.180004,0.179236,
0.013888,0.013536,
0.01344,0.01312,
0.175427,0.174819,
0.011904,0.011296,
0.010784,0.010496,
0.171651,0.171043,
0.019808,0.018624,
2.72367,2.71951,
2.69291,2.68715,
0.034752,0.030848,
0.205156,0.203332,
2.6349,2.63013,
1.8305,1.82531,
1.7463,1.74157,
0.033825,0.030977,
0.167267,0.166435,
1.79008,1.78691,
1.78666,1.78275,
0.0288,0.02576,
0.167043,0.166019,
0.012224,0.011808,
0.011008,0.010592,
0.01024,0.00992,
0.01088,0.01056,
0.162084,0.16154,
0.011584,0.011136,
1.84474,1.84183,
0.024833,0.023457,
0.152066,0.151298,
0.011872,0.01152,
0.01008,0.009728,
0.138338,0.137698,
0.010881,0.010401,
0.009536,0.009216,
0.134562,0.133922,
0.010752,0.010144,
0.011009,0.010689,
0.138083,0.137443,
0.011072,0.010688,
0.008736,0.008448,
0.137731,0.136963,
0.017185,0.015681,
0.00976,0.009504,
0.148674,0.14749,
0.010208,0.009824,
0.00896,0.008672,
0.144322,0.143842,
0.010689,0.010401,
2.15802,2.15514,
0.027873,0.024673,
0.157827,0.156771,
0.010208,0.009728,
0.00912,0.008832,
0.131298,0.13037,
0.011297,0.011009,
0.009312,0.00896,
0.165763,0.164547,
0.012192,0.011712,
2.62293,2.61976,
2.65314,2.64738,
2.64603,2.63989,
0.035136,0.031136,
0.214948,0.213348,
0.012129,0.011745,
0.010016,0.009664,
0.13613,0.135234,
0.01088,0.010528,
2.61288,2.60949,
