img_stamp,tf_stamp,skew_ms,corners,charuco_rms_px,coverage,base_board_tx,base_board_ty,base_board_tz,base_board_rvec_x,base_board_rvec_y,base_board_rvec_z,t_std_x,t_std_y,t_std_z,rot_med_deg,reproj_rms_px
1754868177.291950080,1754868177.291950080,0.000,22,0.255,0.104,-0.277413,0.077472,0.713427,-1.562972,-0.837177,1.847476,0.038980,0.017574,0.041776,18.511420,0.255049
1754868177.358656000,1754868177.358656000,0.000,22,0.264,0.104,-0.277783,0.077351,0.713531,-1.563541,-0.838368,1.846531,0.033934,0.013690,0.031393,7.951449,0.263553
1754868177.425361920,1754868177.425361920,0.000,22,0.262,0.104,-0.277365,0.077521,0.713370,-1.562245,-0.837638,1.848021,0.033546,0.013332,0.030493,8.859897,0.261754
1754868177.492061184,1754868177.492061184,0.000,22,0.250,0.104,-0.277505,0.077455,0.713447,-1.562850,-0.837129,1.847230,0.032447,0.012783,0.029136,10.326408,0.250449
1754868177.625475328,1754868177.625475328,0.000,22,0.294,0.104,-0.277207,0.077381,0.713453,-1.561593,-0.837297,1.847646,0.030572,0.011984,0.027261,11.061900,0.293964
1754868177.758888960,1754868177.758888960,0.000,22,0.255,0.104,-0.277284,0.077502,0.713480,-1.561829,-0.834338,1.847072,0.027888,0.010917,0.024819,11.276388,0.255002
1754868178.025714432,1754868178.025714432,0.000,22,0.263,0.104,-0.277488,0.077477,0.713552,-1.562905,-0.837344,1.847344,0.024579,0.009615,0.021866,11.122256,0.262680
1754868178.159126272,1754868178.159126272,0.000,22,0.298,0.104,-0.276702,0.077383,0.713532,-1.559639,-0.836840,1.849234,0.020441,0.007982,0.018151,11.064860,0.298427
1754868178.292537856,1754868178.292537856,0.000,22,0.283,0.104,-0.277160,0.077414,0.713632,-1.561665,-0.836579,1.847548,0.014768,0.005751,0.013015,11.217969,0.282642
1754868178.425948672,1754868178.425948672,0.000,22,0.288,0.104,-0.277002,0.077339,0.713775,-1.560862,-0.838422,1.848633,0.000603,0.000164,0.000517,0.255897,0.287732
1754868178.559199488,1754868178.559199488,0.000,22,0.305,0.104,-0.276712,0.077367,0.713624,-1.559392,-0.840187,1.851135,0.000585,0.000162,0.000518,0.304952,0.305426
1754868178.826235136,1754868178.826235136,0.000,22,0.280,0.104,-0.276522,0.077442,0.713687,-1.559957,-0.835360,1.848821,0.000593,0.000096,0.000477,0.274717,0.280362
1754868178.959760896,1754868178.959760896,0.000,22,0.269,0.104,-0.276914,0.077562,0.713709,-1.561860,-0.836017,1.847632,0.000581,0.000102,0.000421,0.110643,0.269147
1754868179.093292288,1754868179.093292288,0.000,22,0.256,0.104,-0.276907,0.077401,0.713888,-1.560617,-0.836142,1.848277,0.000573,0.000095,0.000349,0.407555,0.255900
1754868179.226829056,1754868179.226829056,0.000,22,0.282,0.104,-0.276777,0.077431,0.713603,-1.559123,-0.836628,1.850078,0.000458,0.000085,0.000332,0.107909,0.282416
1754868179.360371456,1754868179.360371456,0.000,22,0.270,0.104,-0.276928,0.077420,0.713762,-1.560963,-0.837928,1.848989,0.000466,0.000076,0.000270,0.114057,0.269904
1754868179.493919232,1754868179.493919232,0.000,22,0.268,0.104,-0.277030,0.077520,0.713694,-1.561172,-0.836628,1.848396,0.000468,0.000070,0.000252,0.210116,0.268411
1754868179.627597568,1754868179.627597568,0.000,22,0.276,0.104,-0.277320,0.077471,0.713717,-1.562708,-0.836945,1.846639,0.000417,0.000069,0.000217,0.117395,0.275629
1754868179.694313984,1754868179.694313984,0.000,22,0.270,0.104,-0.277310,0.077536,0.713744,-1.562840,-0.836950,1.847410,0.000408,0.000070,0.000194,0.134934,0.269749
1754868179.827746560,1754868179.827746560,0.000,22,0.269,0.104,-0.277040,0.077452,0.713816,-1.562265,-0.836421,1.846793,0.000376,0.000066,0.000185,0.132863,0.268503
1754868180.027896064,1754868180.027896064,0.000,22,0.296,0.104,-0.277080,0.077467,0.713736,-1.562267,-0.837173,1.847097,0.000377,0.000066,0.000175,0.101567,0.296303
